Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	02/16/2026 	_x86_64_	(64 CPU)

09:28:51 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:18 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:18 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:18 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:18 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:18 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:18 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:18 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:18 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:18 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:18 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:18 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:18 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:18 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:18 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:18 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:18 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:18 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:18 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:18 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:18 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:18 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:18 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:18 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:18 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:19 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:19 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:19 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:19 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:19 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:19 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:19 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:19 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:19 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:19 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:19 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:19 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:19 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:19 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:19 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:19 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:19 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:19 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:19 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:19 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:19 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:19 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:19 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:19 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:19 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:20 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:20 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:20 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:20 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:20 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:20 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:20 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:20 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:20 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:20 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:20 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:20 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:20 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:20 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:20 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:20 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:20 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:20 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:20 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:20 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:20 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:20 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:20 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:20 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:20 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:21 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:21 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:21 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:21 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:21 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:21 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:21 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:21 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:21 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:21 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:21 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:21 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:21 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:21 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:21 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:21 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:21 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:21 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:21 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:21 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:21 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:21 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:21 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:21 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:21 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:22 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:22 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:22 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:22 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:22 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:22 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:22 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:22 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:22 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:22 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:22 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:22 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:22 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:22 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:22 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:22 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:22 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:22 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:22 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:22 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:22 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:22 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:22 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:22 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:22 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:23 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:23 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:23 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:23 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:23 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:23 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:23 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:23 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:23 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:23 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:23 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:23 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:23 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:23 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:23 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:23 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:23 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:23 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:23 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:23 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:23 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:23 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:23 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:23 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:23 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:24 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:24 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:24 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:24 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:24 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:24 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:24 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:24 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:24 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:24 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:24 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:24 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:24 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:24 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:24 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:24 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:24 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:24 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:24 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:24 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:24 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:24 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:24 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:24 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:24 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:25 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:25 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:25 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:25 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:25 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:25 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:25 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:25 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:25 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:25 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:25 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:25 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:25 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:25 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:25 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:25 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:25 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:25 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:25 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:25 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:25 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:25 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:25 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:25 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:25 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:26 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:26 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:26 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:26 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:26 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:26 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:26 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:26 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:26 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:26 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:26 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:26 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:26 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:26 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:26 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:26 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:26 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:26 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:26 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:26 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:26 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:26 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:26 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:26 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:26 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:27 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:27 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:27 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:27 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:27 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:27 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:27 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:27 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:27 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:27 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:27 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:27 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:27 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:27 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:27 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:27 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:27 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:27 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:27 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:27 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:27 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:27 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:27 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:27 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:27 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:28 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:28 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:28 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:28 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:28 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:28 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:28 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:28 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:28 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:28 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:28 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:28 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:28 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:28 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:28 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:28 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:28 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:28 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:28 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:28 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:28 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:28 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:28 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:28 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:28 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:29 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:29 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:29 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:29 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:29 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:29 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:29 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:29 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:29 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:29 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:29 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:29 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:29 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:29 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:29 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:29 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:29 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:29 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:29 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:29 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:29 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:29 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:29 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:29 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:29 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:30 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:30 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:30 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:30 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:30 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:30 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:30 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:30 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:30 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:30 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:30 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:30 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:30 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:30 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:30 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:30 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:30 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:30 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:30 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:30 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:30 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:30 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:30 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:30 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:30 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:31 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:31 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:31 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:31 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:31 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:31 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:31 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
